ticker,name,sector,asset_class,market_value,weight,notional_value,shares,price,location,exchange,currency,fx_rate,market_currency,accrual_date
NVDA,NVIDIA CORP,Information Technology,Equity,"713,222,213.56",6.99,"713,222,213.56","5,856,164.00",121.79,United States,NASDAQ,USD,1.00,USD,-
LLY,ELI LILLY,Health Care,Equity,"578,829,455.00",5.67,"578,829,455.00","669,167.00",865.00,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
AVGO,BROADCOM INC,Information Technology,Equity,"575,055,790.58",5.63,"575,055,790.58","399,214.00","1,440.47",United States,NASDAQ,USD,1.00,USD,-
META,META PLATFORMS INC CLASS A,Communication,Equity,"555,664,005.40",5.44,"555,664,005.40","1,105,579.00",502.60,United States,NASDAQ,USD,1.00,USD,-
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"460,216,983.84",4.51,"460,216,983.84","2,460,264.00",187.06,United States,NASDAQ,USD,1.00,USD,-
JPM,JPMORGAN CHASE & CO,Financials,Equity,"451,402,844.64",4.42,"451,402,844.64","2,261,424.00",199.61,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"329,957,601.30",3.23,"329,957,601.30","388,945.00",848.34,United States,NASDAQ,USD,1.00,USD,-
GE,GE AEROSPACE,Industrials,Equity,"305,145,550.32",2.99,"305,145,550.32","1,873,898.00",162.84,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,"280,303,822.56",2.75,"280,303,822.56","1,748,184.00",160.34,United States,NASDAQ,USD,1.00,USD,-
NFLX,NETFLIX INC,Communication,Equity,"243,749,255.50",2.39,"243,749,255.50","378,199.00",644.50,United States,NASDAQ,USD,1.00,USD,-
CRM,SALESFORCE INC,Information Technology,Equity,"196,242,760.88",1.92,"196,242,760.88","811,457.00",241.84,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
WFC,WELLS FARGO,Financials,Equity,"193,641,278.61",1.90,"193,641,278.61","3,342,677.00",57.93,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
ETN,EATON PLC,Industrials,Equity,"191,339,165.64",1.87,"191,339,165.64","592,418.00",322.98,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
QCOM,QUALCOMM INC,Information Technology,Equity,"190,435,227.50",1.87,"190,435,227.50","909,650.00",209.35,United States,NASDAQ,USD,1.00,USD,-
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,"166,103,902.40",1.63,"166,103,902.40","728,015.00",228.16,United States,NASDAQ,USD,1.00,USD,-
CAT,CATERPILLAR INC,Industrials,Equity,"153,828,327.78",1.51,"153,828,327.78","466,698.00",329.61,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
MU,MICRON TECHNOLOGY INC,Information Technology,Equity,"153,724,730.04",1.51,"153,724,730.04","1,140,222.00",134.82,United States,NASDAQ,USD,1.00,USD,-
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,Equity,"146,112,265.46",1.43,"146,112,265.46","857,567.00",170.38,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
UBER,UBER TECHNOLOGIES INC,Industrials,Equity,"138,655,006.00",1.36,"138,655,006.00","2,021,210.00",68.60,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
AXP,AMERICAN EXPRESS,Financials,Equity,"136,404,159.84",1.34,"136,404,159.84","586,836.00",232.44,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
PGR,PROGRESSIVE CORP,Financials,Equity,"135,244,105.36",1.33,"135,244,105.36","643,162.00",210.28,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
INTU,INTUIT INC,Information Technology,Equity,"123,524,451.36",1.21,"123,524,451.36","217,764.00",567.24,United States,NASDAQ,USD,1.00,USD,-
