,ticker,name,sector,asset_class,market_value,weight,notional_value,shares,price,location,exchange,currency,fx_rate,market_currency,accrual_date,etfname,date
0,NOVO B,NOVO NORDISK CLASS B,Health Care,Equity,"1,405,359,070.78",2.60,"1,405,359,070.78","10,412,812.00",134.96,Denmark,Omx Nordic Exchange Copenhagen A/S,USD,6.87,DKK,-,EFA,20240531
1,ASML,ASML HOLDING NV,Information Technology,Equity,"1,205,309,112.00",2.23,"1,205,309,112.00","1,275,000.00",945.34,Netherlands,Euronext Amsterdam,USD,0.92,EUR,-,EFA,20240531
2,NESN,NESTLE SA,Consumer Staples,Equity,"902,423,028.81",1.67,"902,423,028.81","8,519,474.00",105.92,Switzerland,SIX Swiss Exchange,USD,0.90,CHF,-,EFA,20240531
3,AZN,ASTRAZENECA PLC,Health Care,Equity,"767,711,880.02",1.42,"767,711,880.02","4,946,499.00",155.20,United Kingdom,London Stock Exchange,USD,0.79,GBP,-,EFA,20240531
4,7203,TOYOTA MOTOR CORP,Consumer Discretionary,Equity,"732,330,559.17",1.35,"732,330,559.17","33,837,720.00",21.64,Japan,Tokyo Stock Exchange,USD,157.15,JPY,-,EFA,20240531
5,SHEL,SHELL PLC,Energy,Equity,"731,379,228.33",1.35,"731,379,228.33","20,431,860.00",35.80,United Kingdom,London Stock Exchange,USD,0.79,GBP,-,EFA,20240531
6,MC,LVMH,Consumer Discretionary,Equity,"702,016,296.29",1.30,"702,016,296.29","879,932.00",797.81,France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-,EFA,20240531
7,NOVN,NOVARTIS AG,Health Care,Equity,"649,488,829.07",1.20,"649,488,829.07","6,288,895.00",103.28,Switzerland,SIX Swiss Exchange,USD,0.90,CHF,-,EFA,20240531
8,SAP,SAP,Information Technology,Equity,"600,302,708.30",1.11,"600,302,708.30","3,331,939.00",180.17,Germany,Xetra,USD,0.92,EUR,-,EFA,20240531
9,ROG,ROCHE HOLDING PAR AG,Health Care,Equity,"574,010,482.74",1.06,"574,010,482.74","2,241,747.00",256.05,Switzerland,SIX Swiss Exchange,USD,0.90,CHF,-,EFA,20240531
10,HSBA,HSBC HOLDINGS PLC,Financials,Equity,"536,763,266.41",0.99,"536,763,266.41","60,537,906.00",8.87,United Kingdom,London Stock Exchange,USD,0.79,GBP,"Jan 01, 1998",EFA,20240531
11,TTE,TOTALENERGIES,Energy,Equity,"499,071,043.62",0.92,"499,071,043.62","6,860,455.00",72.75,France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-,EFA,20240531
12,BHP,BHP GROUP LTD,Materials,Equity,"479,018,693.97",0.89,"479,018,693.97","16,182,312.00",29.60,Australia,Asx - All Markets,USD,1.50,AUD,-,EFA,20240531
13,SIE,SIEMENS N AG,Industrials,Equity,"464,022,186.41",0.86,"464,022,186.41","2,425,019.00",191.35,Germany,Xetra,USD,0.92,EUR,-,EFA,20240531
14,ULVR,UNILEVER PLC,Consumer Staples,Equity,"435,514,779.19",0.80,"435,514,779.19","7,993,997.00",54.48,United Kingdom,London Stock Exchange,USD,0.79,GBP,-,EFA,20240531
15,SU,SCHNEIDER ELECTRIC,Industrials,Equity,"428,756,834.04",0.79,"428,756,834.04","1,736,422.00",246.92,France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-,EFA,20240531
16,CBA,COMMONWEALTH BANK OF AUSTRALIA,Financials,Equity,"424,605,220.75",0.78,"424,605,220.75","5,340,941.00",79.50,Australia,Asx - All Markets,USD,1.50,AUD,-,EFA,20240531
17,OR,LOREAL SA,Consumer Staples,Equity,"376,833,110.93",0.70,"376,833,110.93","767,794.00",490.80,France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-,EFA,20240531
18,8306,MITSUBISHI UFJ FINANCIAL GROUP INC,Financials,Equity,"373,819,731.08",0.69,"373,819,731.08","35,430,580.00",10.55,Japan,Tokyo Stock Exchange,USD,157.15,JPY,-,EFA,20240531
19,ALV,ALLIANZ,Financials,Equity,"364,054,555.88",0.67,"364,054,555.88","1,249,902.00",291.27,Germany,Xetra,USD,0.92,EUR,-,EFA,20240531
20,SAN,SANOFI SA,Health Care,Equity,"353,930,223.14",0.65,"353,930,223.14","3,632,160.00",97.44,France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-,EFA,20240531
21,BP.,BP PLC,Energy,Equity,"335,715,141.35",0.62,"335,715,141.35","54,015,824.00",6.22,United Kingdom,London Stock Exchange,USD,0.79,GBP,-,EFA,20240531
22,UBSG,UBS GROUP AG,Financials,Equity,"331,418,581.90",0.61,"331,418,581.90","10,494,534.00",31.58,Switzerland,SIX Swiss Exchange,USD,0.90,CHF,-,EFA,20240531
